role,representativeId,committee
Member_for_the_Majority,242,APPROPRIATIONS
Member_for_the_Majority,244,APPROPRIATIONS
Member_for_the_Majority,252,APPROPRIATIONS
Vice_Chairperson,257,APPROPRIATIONS
Member_for_the_Majority,263,APPROPRIATIONS
Member_for_the_Majority,264,APPROPRIATIONS
Member_for_the_Majority,265,APPROPRIATIONS
Member_for_the_Majority,273,APPROPRIATIONS
Member_for_the_Majority,283,APPROPRIATIONS
Vice_Chairperson,284,APPROPRIATIONS
Vice_Chairperson,287,APPROPRIATIONS
Member_for_the_Majority,288,APPROPRIATIONS
Member_for_the_Majority,292,APPROPRIATIONS
Member_for_the_Majority,293,APPROPRIATIONS
Member_for_the_Majority,295,APPROPRIATIONS
Member_for_the_Majority,297,APPROPRIATIONS
Member_for_the_Majority,299,APPROPRIATIONS
Vice_Chairperson,300,APPROPRIATIONS
Vice_Chairperson,306,APPROPRIATIONS
Chairperson,86,AQUACULTURE AND FISHERIES RESOURCES
Member_for_the_Minority,23,AQUACULTURE AND FISHERIES RESOURCES
Member_for_the_Majority,33,AQUACULTURE AND FISHERIES RESOURCES
Member_for_the_Majority,37,AQUACULTURE AND FISHERIES RESOURCES
Member_for_the_Majority,50,AQUACULTURE AND FISHERIES RESOURCES
Member_for_the_Minority,54,AQUACULTURE AND FISHERIES RESOURCES
Member_for_the_Minority,59,AQUACULTURE AND FISHERIES RESOURCES
Member_for_the_Majority,75,AQUACULTURE AND FISHERIES RESOURCES
Member_for_the_Majority,98,AQUACULTURE AND FISHERIES RESOURCES
Member_for_the_Majority,99,AQUACULTURE AND FISHERIES RESOURCES
Vice_Chairperson,106,AQUACULTURE AND FISHERIES RESOURCES
Member_for_the_Minority,127,AQUACULTURE AND FISHERIES RESOURCES
Vice_Chairperson,136,AQUACULTURE AND FISHERIES RESOURCES
Member_for_the_Majority,156,AQUACULTURE AND FISHERIES RESOURCES
Vice_Chairperson,177,AQUACULTURE AND FISHERIES RESOURCES
Member_for_the_Majority,183,AQUACULTURE AND FISHERIES RESOURCES
Vice_Chairperson,240,AQUACULTURE AND FISHERIES RESOURCES
Member_for_the_Majority,268,AQUACULTURE AND FISHERIES RESOURCES
Member_for_the_Majority,273,AQUACULTURE AND FISHERIES RESOURCES
Member_for_the_Majority,286,AQUACULTURE AND FISHERIES RESOURCES
Member_for_the_Majority,293,AQUACULTURE AND FISHERIES RESOURCES
Chairperson,84,BANKS AND FINANCIAL INTERMEDIARIES
Member_for_the_Majority,66,BANKS AND FINANCIAL INTERMEDIARIES
Member_for_the_Majority,67,BANKS AND FINANCIAL INTERMEDIARIES
Member_for_the_Majority,79,BANKS AND FINANCIAL INTERMEDIARIES
Member_for_the_Majority,83,BANKS AND FINANCIAL INTERMEDIARIES
Member_for_the_Majority,99,BANKS AND FINANCIAL INTERMEDIARIES
Member_for_the_Majority,106,BANKS AND FINANCIAL INTERMEDIARIES
Member_for_the_Majority,113,BANKS AND FINANCIAL INTERMEDIARIES
Member_for_the_Majority,120,BANKS AND FINANCIAL INTERMEDIARIES
Member_for_the_Majority,121,BANKS AND FINANCIAL INTERMEDIARIES
Member_for_the_Majority,122,BANKS AND FINANCIAL INTERMEDIARIES
Member_for_the_Minority,123,BANKS AND FINANCIAL INTERMEDIARIES
Member_for_the_Majority,125,BANKS AND FINANCIAL INTERMEDIARIES
Member_for_the_Minority,127,BANKS AND FINANCIAL INTERMEDIARIES
Vice_Chairperson,133,BANKS AND FINANCIAL INTERMEDIARIES
Member_for_the_Majority,135,BANKS AND FINANCIAL INTERMEDIARIES
Member_for_the_Majority,154,BANKS AND FINANCIAL INTERMEDIARIES
Vice_Chairperson,164,BANKS AND FINANCIAL INTERMEDIARIES
Member_for_the_Majority,177,BANKS AND FINANCIAL INTERMEDIARIES
Member_for_the_Majority,191,BANKS AND FINANCIAL INTERMEDIARIES
Vice_Chairperson,199,BANKS AND FINANCIAL INTERMEDIARIES
Vice_Chairperson,209,BANKS AND FINANCIAL INTERMEDIARIES
Member_for_the_Majority,213,BANKS AND FINANCIAL INTERMEDIARIES
Member_for_the_Majority,217,BANKS AND FINANCIAL INTERMEDIARIES
Member_for_the_Majority,225,BANKS AND FINANCIAL INTERMEDIARIES
Member_for_the_Majority,263,BANKS AND FINANCIAL INTERMEDIARIES
Member_for_the_Majority,265,BANKS AND FINANCIAL INTERMEDIARIES
Vice_Chairperson,273,BANKS AND FINANCIAL INTERMEDIARIES
Member_for_the_Majority,278,BANKS AND FINANCIAL INTERMEDIARIES
Member_for_the_Majority,284,BANKS AND FINANCIAL INTERMEDIARIES
Member_for_the_Majority,293,BANKS AND FINANCIAL INTERMEDIARIES
Member_for_the_Majority,299,BANKS AND FINANCIAL INTERMEDIARIES
Member_for_the_Majority,301,BANKS AND FINANCIAL INTERMEDIARIES
Member_for_the_Majority,302,BANKS AND FINANCIAL INTERMEDIARIES
Chairperson,234,BASIC EDUCATION AND CULTURE
Member_for_the_Majority,5,BASIC EDUCATION AND CULTURE
Member_for_the_Majority,6,BASIC EDUCATION AND CULTURE
Member_for_the_Majority,7,BASIC EDUCATION AND CULTURE
Member_for_the_Majority,9,BASIC EDUCATION AND CULTURE
Member_for_the_Minority,23,BASIC EDUCATION AND CULTURE
Member_for_the_Majority,24,BASIC EDUCATION AND CULTURE
Member_for_the_Majority,37,BASIC EDUCATION AND CULTURE
Member_for_the_Majority,41,BASIC EDUCATION AND CULTURE
Member_for_the_Majority,42,BASIC EDUCATION AND CULTURE
Member_for_the_Majority,44,BASIC EDUCATION AND CULTURE
Member_for_the_Majority,48,BASIC EDUCATION AND CULTURE
Member_for_the_Majority,51,BASIC EDUCATION AND CULTURE
Member_for_the_Minority,54,BASIC EDUCATION AND CULTURE
Member_for_the_Majority,55,BASIC EDUCATION AND CULTURE
Member_for_the_Majority,57,BASIC EDUCATION AND CULTURE
Member_for_the_Majority,61,BASIC EDUCATION AND CULTURE
Member_for_the_Majority,63,BASIC EDUCATION AND CULTURE
Member_for_the_Majority,65,BASIC EDUCATION AND CULTURE
Member_for_the_Minority,72,BASIC EDUCATION AND CULTURE
Member_for_the_Majority,79,BASIC EDUCATION AND CULTURE
Member_for_the_Majority,84,BASIC EDUCATION AND CULTURE
Member_for_the_Majority,85,BASIC EDUCATION AND CULTURE
Vice_Chairperson,86,BASIC EDUCATION AND CULTURE
Member_for_the_Majority,90,BASIC EDUCATION AND CULTURE
Member_for_the_Majority,98,BASIC EDUCATION AND CULTURE
Member_for_the_Majority,103,BASIC EDUCATION AND CULTURE
Member_for_the_Majority,109,BASIC EDUCATION AND CULTURE
Member_for_the_Majority,113,BASIC EDUCATION AND CULTURE
Vice_Chairperson,124,BASIC EDUCATION AND CULTURE
Member_for_the_Majority,125,BASIC EDUCATION AND CULTURE
Member_for_the_Majority,154,BASIC EDUCATION AND CULTURE
Member_for_the_Majority,164,BASIC EDUCATION AND CULTURE
Member_for_the_Majority,169,BASIC EDUCATION AND CULTURE
Member_for_the_Majority,176,BASIC EDUCATION AND CULTURE
Member_for_the_Majority,177,BASIC EDUCATION AND CULTURE
Member_for_the_Majority,185,BASIC EDUCATION AND CULTURE
Member_for_the_Majority,199,BASIC EDUCATION AND CULTURE
Vice_Chairperson,201,BASIC EDUCATION AND CULTURE
Member_for_the_Majority,213,BASIC EDUCATION AND CULTURE
Vice_Chairperson,225,BASIC EDUCATION AND CULTURE
Member_for_the_Majority,227,BASIC EDUCATION AND CULTURE
Member_for_the_Majority,235,BASIC EDUCATION AND CULTURE
Member_for_the_Majority,238,BASIC EDUCATION AND CULTURE
Member_for_the_Majority,240,BASIC EDUCATION AND CULTURE
Vice_Chairperson,242,BASIC EDUCATION AND CULTURE
Member_for_the_Minority,248,BASIC EDUCATION AND CULTURE
Member_for_the_Majority,273,BASIC EDUCATION AND CULTURE
Member_for_the_Majority,284,BASIC EDUCATION AND CULTURE
Vice_Chairperson,292,BASIC EDUCATION AND CULTURE
Member_for_the_Majority,299,BASIC EDUCATION AND CULTURE
Member_for_the_Majority,300,BASIC EDUCATION AND CULTURE
Member_for_the_Majority,301,BASIC EDUCATION AND CULTURE
Chairperson,251,CIVIL SERVICE AND PROFESSIONAL REGULATION
Member_for_the_Minority,54,CIVIL SERVICE AND PROFESSIONAL REGULATION
Member_for_the_Majority,60,CIVIL SERVICE AND PROFESSIONAL REGULATION
Member_for_the_Minority,72,CIVIL SERVICE AND PROFESSIONAL REGULATION
Vice_Chairperson,120,CIVIL SERVICE AND PROFESSIONAL REGULATION
Member_for_the_Minority,127,CIVIL SERVICE AND PROFESSIONAL REGULATION
Member_for_the_Majority,154,CIVIL SERVICE AND PROFESSIONAL REGULATION
Member_for_the_Majority,156,CIVIL SERVICE AND PROFESSIONAL REGULATION
Member_for_the_Majority,176,CIVIL SERVICE AND PROFESSIONAL REGULATION
Vice_Chairperson,191,CIVIL SERVICE AND PROFESSIONAL REGULATION
Member_for_the_Majority,205,CIVIL SERVICE AND PROFESSIONAL REGULATION
Vice_Chairperson,286,CIVIL SERVICE AND PROFESSIONAL REGULATION
Vice_Chairperson,2,CLIMATE CHANGE
Member_for_the_Majority,40,CLIMATE CHANGE
Member_for_the_Majority,86,CLIMATE CHANGE
Member_for_the_Majority,139,CLIMATE CHANGE
Vice_Chairperson,160,CLIMATE CHANGE
Member_for_the_Majority,182,CLIMATE CHANGE
Vice_Chairperson,193,CLIMATE CHANGE
Member_for_the_Majority,199,CLIMATE CHANGE
Member_for_the_Majority,229,CLIMATE CHANGE
Member_for_the_Minority,248,CLIMATE CHANGE
Chairperson,76,CLIMATE CHANGE
Chairperson,128,CONSTITUTIONAL AMENDMENTS
Member_for_the_Minority,59,CONSTITUTIONAL AMENDMENTS
Member_for_the_Majority,69,CONSTITUTIONAL AMENDMENTS
Member_for_the_Minority,72,CONSTITUTIONAL AMENDMENTS
Member_for_the_Majority,84,CONSTITUTIONAL AMENDMENTS
Vice_Chairperson,93,CONSTITUTIONAL AMENDMENTS
Member_for_the_Minority,123,CONSTITUTIONAL AMENDMENTS
Member_for_the_Minority,127,CONSTITUTIONAL AMENDMENTS
Member_for_the_Majority,133,CONSTITUTIONAL AMENDMENTS
Member_for_the_Majority,141,CONSTITUTIONAL AMENDMENTS
Member_for_the_Minority,149,CONSTITUTIONAL AMENDMENTS
Vice_Chairperson,180,CONSTITUTIONAL AMENDMENTS
Member_for_the_Majority,191,CONSTITUTIONAL AMENDMENTS
Member_for_the_Majority,227,CONSTITUTIONAL AMENDMENTS
Vice_Chairperson,233,CONSTITUTIONAL AMENDMENTS
Member_for_the_Majority,237,CONSTITUTIONAL AMENDMENTS
Vice_Chairperson,241,CONSTITUTIONAL AMENDMENTS
Member_for_the_Majority,265,CONSTITUTIONAL AMENDMENTS
Member_for_the_Majority,292,CONSTITUTIONAL AMENDMENTS
Chairperson,158,COOPERATIVES DEVELOPMENT
Member_for_the_Majority,61,COOPERATIVES DEVELOPMENT
Member_for_the_Majority,65,COOPERATIVES DEVELOPMENT
Member_for_the_Majority,67,COOPERATIVES DEVELOPMENT
Member_for_the_Minority,88,COOPERATIVES DEVELOPMENT
Vice_Chairperson,105,COOPERATIVES DEVELOPMENT
Member_for_the_Majority,137,COOPERATIVES DEVELOPMENT
Member_for_the_Minority,149,COOPERATIVES DEVELOPMENT
Member_for_the_Majority,150,COOPERATIVES DEVELOPMENT
Vice_Chairperson,164,COOPERATIVES DEVELOPMENT
Member_for_the_Majority,172,COOPERATIVES DEVELOPMENT
Member_for_the_Majority,189,COOPERATIVES DEVELOPMENT
Vice_Chairperson,209,COOPERATIVES DEVELOPMENT
Member_for_the_Majority,240,COOPERATIVES DEVELOPMENT
Chairperson,39,DANGEROUS DRUGS
Member_for_the_Majority,33,DANGEROUS DRUGS
Member_for_the_Majority,40,DANGEROUS DRUGS
Member_for_the_Majority,41,DANGEROUS DRUGS
Member_for_the_Majority,44,DANGEROUS DRUGS
Vice_Chairperson,55,DANGEROUS DRUGS
Member_for_the_Minority,59,DANGEROUS DRUGS
Member_for_the_Majority,60,DANGEROUS DRUGS
Member_for_the_Majority,61,DANGEROUS DRUGS
Member_for_the_Majority,66,DANGEROUS DRUGS
Member_for_the_Minority,72,DANGEROUS DRUGS
Member_for_the_Minority,80,DANGEROUS DRUGS
Member_for_the_Minority,88,DANGEROUS DRUGS
Vice_Chairperson,106,DANGEROUS DRUGS
Member_for_the_Majority,122,DANGEROUS DRUGS
Member_for_the_Majority,128,DANGEROUS DRUGS
Member_for_the_Majority,154,DANGEROUS DRUGS
Member_for_the_Majority,156,DANGEROUS DRUGS
Member_for_the_Majority,168,DANGEROUS DRUGS
Member_for_the_Majority,174,DANGEROUS DRUGS
Member_for_the_Majority,177,DANGEROUS DRUGS
Member_for_the_Majority,183,DANGEROUS DRUGS
Member_for_the_Majority,189,DANGEROUS DRUGS
Vice_Chairperson,205,DANGEROUS DRUGS
Member_for_the_Majority,214,DANGEROUS DRUGS
Member_for_the_Majority,218,DANGEROUS DRUGS
Member_for_the_Majority,224,DANGEROUS DRUGS
Member_for_the_Majority,236,DANGEROUS DRUGS
Vice_Chairperson,246,DANGEROUS DRUGS
Member_for_the_Majority,247,DANGEROUS DRUGS
Member_for_the_Majority,251,DANGEROUS DRUGS
Member_for_the_Majority,255,DANGEROUS DRUGS
Member_for_the_Majority,257,DANGEROUS DRUGS
Member_for_the_Majority,263,DANGEROUS DRUGS
Member_for_the_Majority,268,DANGEROUS DRUGS
Member_for_the_Majority,285,DANGEROUS DRUGS
Member_for_the_Majority,288,DANGEROUS DRUGS
Member_for_the_Majority,299,DANGEROUS DRUGS
Vice_Chairperson,33,DISASTER RESILIENCE
Member_for_the_Minority,56,DISASTER RESILIENCE
Member_for_the_Majority,79,DISASTER RESILIENCE
Member_for_the_Minority,80,DISASTER RESILIENCE
Member_for_the_Majority,93,DISASTER RESILIENCE
Member_for_the_Majority,96,DISASTER RESILIENCE
Member_for_the_Majority,97,DISASTER RESILIENCE
Member_for_the_Majority,106,DISASTER RESILIENCE
Member_for_the_Majority,120,DISASTER RESILIENCE
Member_for_the_Majority,122,DISASTER RESILIENCE
Member_for_the_Majority,141,DISASTER RESILIENCE
Member_for_the_Majority,146,DISASTER RESILIENCE
Vice_Chairperson,158,DISASTER RESILIENCE
Member_for_the_Majority,174,DISASTER RESILIENCE
Vice_Chairperson,179,DISASTER RESILIENCE
Vice_Chairperson,193,DISASTER RESILIENCE
Vice_Chairperson,213,DISASTER RESILIENCE
Vice_Chairperson,232,DISASTER RESILIENCE
Member_for_the_Majority,243,DISASTER RESILIENCE
Member_for_the_Majority,273,DISASTER RESILIENCE
Member_for_the_Majority,287,DISASTER RESILIENCE
Member_for_the_Majority,300,DISASTER RESILIENCE
Member_for_the_Majority,9,ECOLOGY
Member_for_the_Majority,32,ECOLOGY
Member_for_the_Majority,33,ECOLOGY
Member_for_the_Majority,40,ECOLOGY
Member_for_the_Majority,49,ECOLOGY
Member_for_the_Majority,78,ECOLOGY
Member_for_the_Majority,84,ECOLOGY
Vice_Chairperson,85,ECOLOGY
Member_for_the_Majority,96,ECOLOGY
Member_for_the_Majority,104,ECOLOGY
Member_for_the_Minority,123,ECOLOGY
Member_for_the_Majority,124,ECOLOGY
Member_for_the_Majority,125,ECOLOGY
Member_for_the_Majority,136,ECOLOGY
Member_for_the_Majority,146,ECOLOGY
Member_for_the_Majority,156,ECOLOGY
Member_for_the_Majority,173,ECOLOGY
Member_for_the_Majority,176,ECOLOGY
Vice_Chairperson,182,ECOLOGY
Member_for_the_Majority,199,ECOLOGY
Member_for_the_Majority,217,ECOLOGY
Member_for_the_Majority,218,ECOLOGY
Member_for_the_Majority,225,ECOLOGY
Member_for_the_Minority,248,ECOLOGY
Member_for_the_Majority,251,ECOLOGY
Member_for_the_Majority,255,ECOLOGY
Member_for_the_Majority,281,ECOLOGY
Member_for_the_Majority,293,ECOLOGY
Chairperson,163,ECOLOGY
Chairperson,133,ECONOMIC AFFAIRS
Member_for_the_Majority,14,ECONOMIC AFFAIRS
Member_for_the_Majority,32,ECONOMIC AFFAIRS
Member_for_the_Majority,34,ECONOMIC AFFAIRS
Member_for_the_Majority,39,ECONOMIC AFFAIRS
Member_for_the_Majority,40,ECONOMIC AFFAIRS
Member_for_the_Majority,49,ECONOMIC AFFAIRS
Member_for_the_Majority,51,ECONOMIC AFFAIRS
Member_for_the_Minority,72,ECONOMIC AFFAIRS
Member_for_the_Majority,76,ECONOMIC AFFAIRS
Member_for_the_Minority,80,ECONOMIC AFFAIRS
Vice_Chairperson,84,ECONOMIC AFFAIRS
Member_for_the_Majority,93,ECONOMIC AFFAIRS
Member_for_the_Majority,140,ECONOMIC AFFAIRS
Member_for_the_Majority,145,ECONOMIC AFFAIRS
Member_for_the_Majority,158,ECONOMIC AFFAIRS
Member_for_the_Majority,203,ECONOMIC AFFAIRS
Member_for_the_Majority,209,ECONOMIC AFFAIRS
Member_for_the_Minority,220,ECONOMIC AFFAIRS
Member_for_the_Majority,228,ECONOMIC AFFAIRS
Vice_Chairperson,243,ECONOMIC AFFAIRS
Member_for_the_Majority,254,ECONOMIC AFFAIRS
Member_for_the_Majority,256,ECONOMIC AFFAIRS
Vice_Chairperson,257,ECONOMIC AFFAIRS
Member_for_the_Majority,265,ECONOMIC AFFAIRS
Member_for_the_Majority,269,ECONOMIC AFFAIRS
Member_for_the_Majority,301,ECONOMIC AFFAIRS
Member_for_the_Majority,306,ECONOMIC AFFAIRS
Member_for_the_Minority,23,ENERGY
Member_for_the_Majority,40,ENERGY
Member_for_the_Majority,42,ENERGY
Member_for_the_Minority,54,ENERGY
Vice_Chairperson,55,ENERGY
Member_for_the_Majority,57,ENERGY
